Source,Target,Weight,Type,origine,servizi
r_abruzzo,inps,1,Directed,ricostruita,Servizi Regione Abruzzo
r_abruzzo,istat,1,Directed,ricostruita,Servizi Regione Abruzzo
r_emilia,comuni_agg,1,Directed,ricostruita,Servizi Regione Emilia-Romagna
r_emilia,c_bologna,1,Directed,ricostruita,Servizi Regione Emilia-Romagna
r_emilia,mlps,1,Directed,ricostruita,Servizi Regione Emilia-Romagna
r_emilia,inps,1,Directed,ricostruita,Servizi Regione Emilia-Romagna
r_emilia,istat,1,Directed,ricostruita,Servizi Regione Emilia-Romagna
r_piemonte,comuni_agg,1,Directed,ricostruita,Servizi Regione Piemonte
r_piemonte,mlps,1,Directed,ricostruita,Servizi Regione Piemonte
r_piemonte,inps,1,Directed,ricostruita,Servizi Regione Piemonte
r_piemonte,istat,1,Directed,ricostruita,Servizi Regione Piemonte
r_veneto,comuni_agg,1,Directed,ricostruita,Servizi Regione Veneto
r_veneto,c_padova,1,Directed,ricostruita,Servizi Regione Veneto
r_veneto,mlps,1,Directed,ricostruita,Servizi Regione Veneto
r_veneto,inps,1,Directed,ricostruita,Servizi Regione Veneto
r_veneto,istat,1,Directed,ricostruita,Servizi Regione Veneto
r_marche,comuni_agg,1,Directed,ricostruita,Servizi Regione Marche
r_marche,mlps,1,Directed,ricostruita,Servizi Regione Marche
r_marche,inps,1,Directed,ricostruita,Servizi Regione Marche
r_marche,istat,1,Directed,ricostruita,Servizi Regione Marche
r_umbria,comuni_agg,1,Directed,ricostruita,Servizi Regione Umbria
r_umbria,mlps,1,Directed,ricostruita,Servizi Regione Umbria
r_umbria,inps,1,Directed,ricostruita,Servizi Regione Umbria
r_umbria,istat,1,Directed,ricostruita,Servizi Regione Umbria
r_vda,comuni_agg,1,Directed,ricostruita,Servizi Regione Valle d'Aosta
r_vda,mlps,1,Directed,ricostruita,Servizi Regione Valle d'Aosta
r_vda,inps,1,Directed,ricostruita,Servizi Regione Valle d'Aosta
r_vda,istat,1,Directed,ricostruita,Servizi Regione Valle d'Aosta
r_basilicata,comuni_agg,1,Directed,ricostruita,Servizi Regione Basilicata
r_basilicata,mlps,1,Directed,ricostruita,Servizi Regione Basilicata
r_basilicata,inps,1,Directed,ricostruita,Servizi Regione Basilicata
r_basilicata,istat,1,Directed,ricostruita,Servizi Regione Basilicata
r_sardegna,comuni_agg,1,Directed,ricostruita,Servizi Regione Sardegna
r_sardegna,mlps,1,Directed,ricostruita,Servizi Regione Sardegna
r_sardegna,inps,1,Directed,ricostruita,Servizi Regione Sardegna
r_sardegna,istat,1,Directed,ricostruita,Servizi Regione Sardegna
r_calabria,comuni_agg,1,Directed,ricostruita,Servizi Regione Calabria
r_calabria,mlps,1,Directed,ricostruita,Servizi Regione Calabria
r_calabria,inps,1,Directed,ricostruita,Servizi Regione Calabria
r_calabria,istat,1,Directed,ricostruita,Servizi Regione Calabria
min_istruzione,comuni_agg,1,Directed,ricostruita,Servizi Istruzione Scolastica
min_istruzione,mur,1,Directed,ricostruita,Servizi Istruzione Scolastica
min_istruzione,istat,1,Directed,ricostruita,Servizi Istruzione Scolastica
min_istruzione,mlps,1,Directed,ricostruita,Servizi Istruzione Scolastica
ispra,comuni_agg,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,istat,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,r_lombardia,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,r_lazio,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,r_emilia,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,pa_bolzano,1,Directed,ricostruita,Dati Ambientali e Protezione
ispra,pa_trento,1,Directed,ricostruita,Dati Ambientali e Protezione
