Source,Target,Weight,Type,origine,servizi
min_interno,istat,1,Directed,ricostruita,ANPR – Accertamento Anagrafico
inps,c_milano,3,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Consultazione DURC"
inps,c_roma,3,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Consultazione DURC"
inps,c_napoli,3,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Consultazione DURC"
inps,c_bologna,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,c_genova,1,Directed,ricostruita,Consultazione ISEE
inps,c_padova,1,Directed,ricostruita,Consultazione ISEE
inps,comuni_agg,3,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Consultazione DURC"
inps,r_lombardia,5,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Casellario Lavoratori Attivi; Casellario Pensionati; Consultazione DURC"
inps,r_lazio,3,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza; Consultazione DURC"
inps,r_campania,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_friuli,1,Directed,ricostruita,Consultazione ISEE
inps,mur,1,Directed,ricostruita,Consultazione ISEE
inps,r_liguria,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_toscana,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_molise,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_puglia,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,pa_trento,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_abruzzo,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_emilia,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_piemonte,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_veneto,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_marche,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_umbria,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_vda,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_basilicata,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_sardegna,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,r_calabria,2,Directed,ricostruita,"Consultazione ISEE; SIUSS – Casellario Assistenza"
inps,mlps,3,Directed,ricostruita,"SIUSS – Casellario Assistenza; Casellario Lavoratori Attivi; Casellario Pensionati"
inps,ade,2,Directed,ricostruita,"Casellario Lavoratori Attivi; Casellario Pensionati"
inps,mef,2,Directed,ricostruita,"Casellario Lavoratori Attivi; Casellario Pensionati"
inps,inail,1,Directed,ricostruita,Casellario Lavoratori Attivi
inps,anac,1,Directed,ricostruita,Consultazione DURC
inps,unioncamere,1,Directed,ricostruita,Consultazione DURC
ade,inps,2,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA"
ade,c_milano,4,Directed,ricostruita,"VCF1 – Verifica Codice Fiscale; Verifica Partita IVA; ANNCSU – Anagrafe Immobiliare; Dati Catastali"
